Project Name
"Commons
Freely usable photos & more"
"Wikivoyage
Free travel guide"
"Wiktionary
Free dictionary"
"Wikibooks
Free textbooks"
"Wikinews
Free news source"
"Wikidata
Free knowledge base"
"Wikiversity
Free course materials"
"Wikiquote
Free quote compendium"
"MediaWiki
Free & open wiki application"
"Wikisource
Free library"
"Wikispecies
Free species directory"
"Wikifunctions
Free function library"
"Meta-Wiki
Community coordination & documentation"
